,property_id,status,list_price,price_reduced_amount,last_sold_date,last_sold_price,type,beds,baths,baths_full,lot_sqft,sqft
0,2146465328,for_sale,1660000,,2023-05-19,1569000.0,single_family,3.0,4.0,4.0,7488,2120.0
1,2053300471,for_sale,2899000,,2021-04-12,2275000.0,single_family,4.0,4.0,1.0,6630,3208.0
2,2080355546,for_sale,1995000,,1985-11-15,209500.0,single_family,4.0,4.0,2.0,7523,3202.0
3,2822639651,for_sale,749000,,2021-04-28,621000.0,condos,2.0,2.0,2.0,14523,1180.0
4,2578787526,for_sale,819000,,2003-08-15,200000.0,single_family,3.0,3.0,2.0,2300,1240.0
5,2593060382,for_sale,1299000,,2021-08-04,920000.0,single_family,2.0,2.0,2.0,7261,1886.0
6,2094553870,for_sale,1200000,,1975-11-14,15000.0,single_family,3.0,2.0,2.0,6020,1608.0
7,2151347166,for_sale,2600000,,2008-03-18,1600000.0,multi_family,12.0,16.0,2.0,8603,11184.0
8,2592240531,for_sale,900000,,,,multi_family,3.0,2.0,2.0,7505,1798.0
9,2598650273,for_sale,850000,,,,single_family,1.0,1.0,1.0,5506,1014.0
10,1958267854,for_sale,900000,,,,land,,,,7505,
11,2100069229,for_sale,1895000,,2022-03-25,700000.0,land,,,,9026,
12,2780752732,for_sale,1895000,,2004-05-28,660000.0,multi_family,4.0,4.0,1.0,3123,3124.0
13,1153571241,for_sale,1350000,100000.0,2000-10-04,325000.0,multi_family,8.0,4.0,1.0,7126,5544.0
14,2852214745,for_sale,1525000,,2017-10-19,800000.0,multi_family,8.0,7.0,2.0,4561,4608.0
15,2213059567,for_sale,4250000,,2023-11-15,3610000.0,single_family,4.0,4.0,4.0,10520,3408.0
16,9890858939,for_sale,1299000,,2022-04-11,1419000.0,single_family,3.0,3.0,3.0,1978,1895.0
17,2146837987,for_sale,1450000,,2014-01-08,1094000.0,multi_family,14.0,8.0,3.0,5279,5560.0
18,2474168602,for_sale,709000,,,,condos,2.0,2.0,2.0,20443,1087.0
19,2211308068,for_sale,3350000,,1986-04-08,125000.0,single_family,3.0,2.0,2.0,13538,2702.0
20,2006308118,for_sale,4150000,,2023-03-09,3975000.0,single_family,3.0,4.0,3.0,7000,2702.0
21,1955402840,for_sale,6950000,,2021-04-27,3055500.0,single_family,6.0,8.0,6.0,12009,5000.0
22,2104727472,for_sale,1975000,287889.0,1987-02-10,203000.0,multi_family,,4.0,4.0,7174,
23,2642624085,for_sale,950000,49950.0,2012-11-29,450000.0,single_family,4.0,2.0,2.0,7501,1432.0
24,1153608507,for_sale,1700000,,2014-01-07,1215000.0,multi_family,8.0,8.0,1.0,7711,7680.0
25,1021753440,for_sale,6150000,,2019-05-01,4400000.0,multi_family,30.0,28.0,5.0,14514,16314.0
26,1620173552,for_sale,1249000,,2018-11-01,950000.0,multi_family,6.0,4.0,4.0,5763,2011.0
27,2081622588,for_sale,1599900,,2017-07-19,1250000.0,single_family,5.0,4.0,4.0,7052,2625.0
28,1764303087,for_sale,1249000,,2023-08-25,1051000.0,single_family,3.0,2.0,2.0,6242,1320.0
29,2079088504,for_sale,1300000,,2004-05-07,620000.0,multi_family,0.0,5.0,5.0,6564,2717.0
30,2709614859,for_sale,1480000,,1975-07-30,77500.0,multi_family,8.0,8.0,8.0,8782,7985.0
31,2544407658,for_sale,1750000,,2013-02-04,1160000.0,multi_family,12.0,10.0,4.0,7256,6681.0
32,2601506237,for_sale,859000,,,,condos,3.0,2.0,2.0,7253,1610.0
33,2807770540,for_sale,3690000,,2021-09-22,3302000.0,single_family,5.0,5.0,5.0,7013,4400.0
34,2014320295,for_sale,5799000,,1997-08-22,525000.0,single_family,5.0,6.0,5.0,10520,5320.0
35,2263890312,for_sale,3895000,,2014-10-20,2075000.0,single_family,4.0,4.0,3.0,6996,3845.0
36,2569135647,for_sale,2300000,,2023-09-20,1150000.0,land,,,,7545,
37,2236686174,for_sale,2995000,,2025-05-01,2850000.0,single_family,4.0,4.0,3.0,7701,2303.0
38,2592969952,for_sale,750000,,2024-06-25,750000.0,condos,1.0,1.0,1.0,17955,890.0
39,2012196137,for_sale,4695000,,,,single_family,5.0,5.0,4.0,13355,4519.0
40,2165955416,for_sale,2275000,,2022-02-01,1820000.0,multi_family,4.0,11.0,5.0,8673,5237.0
41,2122130667,for_sale,1995000,,2003-07-01,535000.0,multi_family,12.0,6.0,5.0,7632,6852.0
42,2158576759,for_sale,949000,29000.0,2013-03-22,380000.0,single_family,3.0,2.0,2.0,6007,1247.0
43,2096185714,for_sale,839000,,2022-04-18,925000.0,condos,2.0,2.0,2.0,17955,1190.0
44,2181718909,for_sale,1249000,,2023-12-05,1060000.0,condos,2.0,3.0,2.0,118840,1574.0
